N;CODIGO_PROYECTO;SUBDIRECCION;PROGRAMA;INSTRUMENTO;NOMBRE_CONCURSO;ESTADO_DE_ADJUDICACION;DISCIPLINA OECD;REGION_EJECUCION;TIPO_BENEFICIARIO;TIPO DE INSTITUCION;SEXO;ANO_FALLO;MACRO ZONA
1;ICN99_001;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;ADJUDICADO;CIENCIAS NATURALES;REGION METROPOLITANA;PERSONA NATURAL;NO APLICA;HOMBRE;1999;RM
2;ICN99_002;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;NO ADJUDICADO;CIENCIAS AGRICOLAS;REGION DE LOS RIOS;PERSONA NATURAL;NO APLICA;HOMBRE;1999;SUR
3;ICN99_003;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;ADJUDICADO;CIENCIAS NATURALES;REGION METROPOLITANA;PERSONA NATURAL;NO APLICA;HOMBRE;1999;RM
4;ICN99_004;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;NO ADJUDICADO;CIENCIAS NATURALES;REGION DEL BIOBIO;PERSONA NATURAL;NO APLICA;HOMBRE;1999;CENTRO SUR
5;ICN99_005;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;ADJUDICADO;CIENCIAS NATURALES;REGION METROPOLITANA;PERSONA NATURAL;NO APLICA;HOMBRE;1999;RM
6;ICN99_006;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;NO ADJUDICADO;CIENCIAS NATURALES;REGION METROPOLITANA;PERSONA NATURAL;NO APLICA;HOMBRE;1999;RM
7;ICN99_007;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;NO ADJUDICADO;CIENCIAS NATURALES;REGION METROPOLITANA;PERSONA NATURAL;NO APLICA;MUJER;1999;RM
8;ICN99_008;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;NO ADJUDICADO;CIENCIAS NATURALES;REGION DEL BIOBIO;PERSONA NATURAL;NO APLICA;HOMBRE;1999;CENTRO SUR
9;ICN99_009;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;NO ADJUDICADO;MEDICINA Y CIENCIAS DE LA SALUD;REGION METROPOLITANA;PERSONA NATURAL;NO APLICA;HOMBRE;1999;RM
10;ICN99_010;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;NO ADJUDICADO;MEDICINA Y CIENCIAS DE LA SALUD;REGION METROPOLITANA;PERSONA NATURAL;NO APLICA;HOMBRE;1999;RM
